bangu	.i xu do se bangu la .lojban.	Do you speak Lojban?
cinri	.i ma paunai se cinri le cabna be lenu ra co'a speni	Who cares when she gets married?
zabna	.i xu zabna fa le nu da'i mi skicu le pu zi se zukte be mi la .alis.	I wonder if I should tell Alice what I just did.
citka	.i mi mo'u citka le pa badna .e le re plise	I've eaten a banana and two apples.
cizra	.i le valsi cu cizra mi le ka se smuni makau	The word is strange to me in meaning.
cizra	.i cizra fa le nu la .tom. na zvati	It's strange that Tom is not present.
cmene	.i ma cmene do	What is your name?
cmene	.i mi se cmene zo .bab.	My name is Bob.
cmene	.i le bruna be mi mi te cmene zo ractu	My brother calls me &quot;Rabbit&quot;
cnino	.i do cnino mi le ka kakne le ka limna	This is news to me that you can swim.
cumki	.i cumki fa le nu la .alis. ba jai lerci	It's possible that Alice will be late.
cusku	.i ba ku mi cusku fi ra fe lu do mutce le ka xendo li'u	And then I said to her: &quot;You are very kind.&quot;
cusku	.i do pu cusku le se du'u do ba gasnu le katna be le nanba	You said that you would cut the bread.
ki'e	ki'e sai do	Thank you very much!
djica	.i mi djica le nu mi cusku le xajmi vau le nu do cisma	I want to tell something funny to make you smile.
djica	.i mi djica tu'a le plise	I want the apples.
djuno	.i mi djuno le du'u mi zasti vau fo le du'u mi pensi	I know that I exist since I think.
fanva	.i mi pu fanva lu coi ui li'u le glico le lojbo zoi gy.yay, hello!.gy.	I translated {coi ui} to English from Lojban as &quot;Yay, hello!&quot;
finti	.i mi pu finti le lisri le ka zdile le verba vau le se lifri be mi	I created a story out of my real experience to amuse the child.
gerna	i le du'u lo'e gadri cu lidne lo'e sinxa be lo se bridi cu gerna la .lojban. lo'e su'o sumti	That gadri precede selbri is the grammar of Lojban for some sumti.
gleki	i mi gleki le nu do jinga	I am happy that you won.
jimpe	i mi na jimpe tu'a do	I don't understand you.
jimpe	i mi na jimpe le du'u ma kau smuni le se cusku be do	I don't understand the meaning of what you said.
kakne	i mi na kakne le nu sipna	I can't sleep.
klama	.i xu do klama fi la .nipon.	Are you from Japan?
klama	.i le dargu cu se kruca lu'a le pu ve klama be le ractu	The road crossed what was the rabbit's track.
klama	i mi'a pu klama fu le ka se marce le bloti vau fo lu'a le lalxu fi le zdani fe le daplu	We sailed on the boat along the lake from the home to an island.
klama	i mi pu klama fi la .nipon. fu le ka se marce le vinji	I flew from Japan.
lojbo	.i mi lojbo le ka se cinri la .lojban. vau .i je mi na se bangu la .lojban.	I'm a Lojbanic person in that I'm interested in Lojban; I don't speak it.
me	.i ti me le titla vanju	This is an example of sweet wine.
mutce	.i ti mutce le ka kargu	This is very expensive.
mutce	.i mi mutce le ka senpi	I highly doubt that.
pilno	.i ra pu pilno le skami le nu facki le se nitcu	He used a computer to get the necessary information.
prenu	.i le xo prenu ca zvati ti voi kumfa	How many people are in this room now?
simsa	i le skapi be ra pu simsa le snime le ka blabi	Her skin was white as snow.
simsa	i mi simsa le'e cipni le ka zifre	I am free as a bird.
srana	.i do .e'o ciska le srana be le se lifri be do	Please write about your experience.
srana	.i xu le nu do litru cu srana le jibri be do	Is your journey related to your job?
tavla	.i ko smaji ca le nu mi tavla la .alis. fo la .lojban. fi le nu prami	Keep silence when I'm talking to Alice in Lojban about love.
tcidu	.i mi mo'u tcidu le se ciska le bitmu	I have read what is written on the wall.
troci	.i mi ba troci le ka cpare le tricu	I will try to climb the tree.
gerna	.i zoi ry.привет.ry. te gerna le rusko	&quot;привет&quot; is a Russian text.
vlipa	i le mamta be mi ku po'o cu vlipa le nu mi cliva	Only my mother has power to make me leave.
xamgu	.i le'e plise cu xamgu le nu kanro .i ji'a le'e plise cu kukte	Apples are good for your health. And, in addition, they taste great.
e	.i mi .e do pu casnu le za'u bangu	I discussed languages, and you discussed languages (maybe not with each other, maybe in different discussions).
ba'e	.i mi djuno le du'u ma kau darxi ba'e la .alis.	I know who hit Alice specifically.
ba'e	.i vajni ba'e mi	It's important to me (!)
be	.i le tixnu be mi cu melbi	My daughter is pretty.
ka'e	.i ro da ka'e te tavla	Everything can be talked about.
pei	.i .au pei mi kansa do	Do you want me to accompany you?
pei	.i pei mi'o zvati le nu salci	What about going to the party?
ru'e	.i .ui ru'e do snada	Yay, you won.
sai	.i .ui sai do snada	Yay, you won!
co'o	i co'o le tumla pe mi	Goodbye, my land!
co'o	i co'o ro do	Goodbye to all of you!
coi	i coi le munje	Hello, world!
je'e	i lu ki'e do li'u lu je'e do li'u	&quot;Thank you!&quot; &quot;You are welcome!&quot;
ki'e	i do pu mutce le ka sidju mi vau ki'e sai do	You helped me a lot, thank you very much!
ki'e	.i mi ne si'u nai mo'u zvafa'i ki'e cu'i la .alis.	I found myself, no thanks to you, Alice.
ki'e	i ki'e cu'i do mi ca le se tcika mo'u klama	I arrived on time, no thanks to you.
ki'e	.i mi jai lerci ki'e nai la .kevin.	I was late, and that's because of you, Kevin.
cu	i lei rirni cu zvati ti ca	The parents are here now.
doi	i doi le nobli do co'u morji fi le ckiku pe do	Oh, sir! You forgot your keys.
fa	i fe zo coi cusku fa mi	Hello, said I.
fa	i fe ma fa mi zukte .ei	What should I do?
fa	i sarcu fa le nu do zvati	It's required that you are present.
fi	i mi dunda fe tu'a ti fi do	I give this to you.
fi	i mi co'i klama fi le tsani	I came from the sky.
gi	i ge do gi mi nelci le'e perli	Both you and I like pears.
gi'e	i ai mi lumci le kumfa gi'e jukpa le nanba	I'm going to clean the room and cook bread.
co'e	i mu'i ma do co'e mi	Why are you doing this to me?
co'e	i za'o co'e	It's going on for too long.
co'e	i .ei do troci le ka co'e bu'u lo drata	You should try it somewhere else.
go'i	i .au mi penmi do i xu le nu go'i cu cumki	I'd like to meet you. Is this possible?
mo	i do mo	How are you?
mo	i la .lojban. cu mo	What is Lojban?
pe	i ti du le pa karce pe la alis	This is a car of my friend.
pe	i le pendo be mi cu jai fenki i le pendo pe mi cu jai fenki	My friend is crazy.
ije	i su'o da zo'u da vi fasnu i je mi na djuno le du'u da mo kau	Something is happening here, and I don't know what it is.
je	i do pu je ca je ba pendo mi	You were, are and will be my friend.
jai	i lei ckiku cu jai nandu fai le nu ri se zvafa'i i va'i le nu zvafa'i lei ckiku cu nandu	The keys are hard to find. In other words, to find the keys is difficult.
jai	i le'e bangu cu jai nandu i le'e bangu cu jai nandu fai le nu cilre fi ri	Languages are difficult. Languages are difficult in learning things about them.
jai	i ko cusku le jai se djica be do	Say what you want.
jai	i do ro roi cusku su'o da poi nandu fa le nu jimpe fi ke'a 	You always say something hard to understand.
da	i mi se bruna da	I have a brother.
coi	i coi ro do	Hello, everyone!
do	i xu do djica le nu mi sidju do	Do you want me to help you?
ko	i ko kurji ko	Take care of yourself.
ko	i ko sisti	Stop it!
ko	i kukte ko	Enjoy your meal.
ko	i ko dasni le taxfu	Get dressed.
mi	i mi gleki	I'm happy.
ma	i do djica ma	What do you want?
ma	i ma prenu gi'e pu zvati ti	Who was here?
ma	i ma dacti gi'e pu zvati ti	What object was here?
zo'e	i zo'e carvi	It's raining.
zo'e	i mi ca'o tavla zo'e la .lojban.	I'm talking about Lojban.
ce'u	la alis la an cu zmadu le ka mi nelci ce'u	I like Alice more than Ann.
la	i zo bruna cmene la kevin le pa pendo be mi	Brother is how friends call Kevin.
tu'a	i mi djica tu'a le pa plise	I want an apple. I want something to happen with an apple (maybe, I want to eat it).
le	i mi pu viska le pa fetsi i ri melbi	I saw a female. She is pretty.
ro	i ro mlatu cu danlu	Cats are animals.
le	i le pa sazri ca denpa	A driver waits.
za'u	i le za'u sazri ca denpa	The drivers wait.
li	i li vo cu sumji li re li re	4 is the sum of 2 and 2.
lu	i mi pu cusku lu coi le pendo li'u	I said &quot;Hello, friends!&quot;
me	i xu do me le ctuca	Are you one of the teachers?
na	i na ku le speni be mi cu citno	It's not true that my wife is young.
na'e	i na'e vajni mi	It's not important to me.
